horse_id	日付	開催	天気	R	レース名	映像	頭数	枠番	馬番	オッズ	人気	着順	騎手	斤量	距離	馬場	馬場指数	タイム	着差	ﾀｲﾑ指数	通過	ペース	上り	馬体重	厩舎ｺﾒﾝﾄ	備考	勝ち馬(2着馬)	賞金
2020100039	2023/01/21	1中山7	晴	1	3歳未勝利		16	4	8	13.9	7.0	1	松岡正海	54	ダ1200	稍	**	1:12.6	-0.3	**	2-2	33.4-39.2	39.1	478(0)			(テイエムスイスイ)	550.0
2020100039	2023/01/05	1中山1	晴	1	3歳未勝利		16	5	9	7.9	4.0	5	松岡正海	54	ダ1200	良	**	1:13.9	1.3	**	2-2	33.7-38.9	40.1	478(+10)			シュバルツガイスト	55.0
2020100039	2022/12/10	5中山3	晴	1	2歳未勝利		16	5	10	5.2	3.0	3	松岡正海	54	ダ1200	稍	**	1:12.7	0.4	**	7-6	34.1-38.2	37.8	468(+2)			カマラードマリー	130.0
2020100039	2022/11/12	3福島3	晴	1	2歳未勝利		16	6	11	39.7	9.0	2	荻野琢真	54	ダ1150	良	**	1:09.7	0.2	**	6-6	31.6-37.9	37.4	466(+4)			エレガントムーン	210.0
2020100039	2022/10/22	4新潟3	晴	3	2歳未勝利		13	7	11	79.6	7.0	2	荻野琢真	54	ダ1200	良	**	1:14.1	0.7	**	2-2	34.9-38.5	39.1	462(0)			ストリンジェンド	210.0
2020100039	2022/09/10	4中山1	晴	3	2歳未勝利		12	8	11	16.3	6.0	9	松岡正海	54	ダ1800	稍	**	1:59.5	3.6	**	6-4-4-5	37.9-40.3	43.3	462(-12)			ゴッドインパルス	
2020100039	2022/08/13	3新潟1	晴	1	2歳未勝利		15	7	13	37.0	10.0	11	丸田恭介	54	ダ1200	良	**	1:14.2	1.6	**	8-6	34.1-38.5	39.1	474(-10)			ペイシャフェリ	
2020100039	2022/07/10	1函館10	晴	1	2歳未勝利		11	6	6	68.1	9.0	4	荻野琢真	54	ダ1000	良	**	1:00.8	1.4	**	10-9	34.3-36.4	35.8	484(+14)			ワタシダケドナニカ	78.0
2020100039	2022/06/18	1函館3	晴	6	2歳新馬		8	7	7	7.8	4.0	6	丹内祐次	54	ダ1000	良	**	1:02.5	2.2	**	7-7	37.0-35.6	37.0	470(0)			オマツリオトコ	
2020104295	2024/08/20	浦和	晴	9	C1三		12	6	7	104.6	10.0	10	藤江渉	54	ダ1500	重	**	1:36.7	3.5	**	10-10-11-11	30.2-37.4	38.6	469(-6)			ハブル	
